#{"t_start": 1583618751.024853, "env_id": "Hopper-v2"}
r,l,t
10.466498,24,0.352072
3.907973,8,0.381666
4.949809,8,0.405821
9.771306,12,0.446351
16.237826,16,0.492524
11.963629,13,0.534469
33.368922,34,0.654366
14.174074,15,1.557603
7.508031,10,1.590104
8.060597,19,1.657809
47.111753,40,1.785461
8.211737,10,1.809765
13.093767,36,1.904943
5.292052,8,1.923366
7.067274,10,2.635264
64.884581,45,2.758674
9.893135,13,2.793731
141.548818,90,3.724398
138.540061,73,3.93058
29.71515,31,4.694978
71.186833,45,4.811028
10.888129,12,4.840603
130.902171,68,5.01566
231.699879,123,6.002485
66.572562,39,6.744824
9.927375,20,6.797527
192.985569,87,7.630788
189.589487,89,7.875475
188.275826,85,8.787723
213.584588,93,9.637717
221.530397,97,9.880558
193.381151,97,10.824552
204.508385,92,11.714693
211.353843,92,12.520916
211.054287,93,12.75571
209.163052,93,13.664989
200.677954,90,14.563636
187.301447,85,14.793866
212.877534,93,15.581084
214.690877,95,16.553003
223.098425,101,17.471248
217.804513,95,17.679971
236.400315,104,18.47921
228.577371,100,19.289721
282.079604,115,20.090666
303.441666,124,21.128553
235.550158,101,21.983051
272.825085,119,22.833558
257.823491,112,23.775543
259.314097,108,24.075461
268.259861,114,24.932803
257.912041,110,25.711914
290.875006,125,26.582008
297.445149,124,27.500025
326.020756,128,28.465387
311.875979,127,29.516399
312.099295,123,30.451083
345.174897,133,31.401466
350.491924,136,32.417492
268.345204,110,33.282481
345.530459,134,34.143608
357.717011,139,35.117319
331.775976,132,36.009256
348.41848,137,36.934677
327.741547,134,37.964169
369.431329,137,38.943647
358.786119,137,40.02506
372.315751,141,41.034264
394.086495,143,42.443928
371.08181,136,43.442466
388.116797,142,44.455256
388.995964,139,45.46726
402.517335,145,46.412748
407.252745,143,47.493084
401.71313,144,48.459691
401.369425,145,49.419007
413.130995,146,51.008026
413.387969,145,51.994382
417.507232,145,53.073948
420.793557,150,54.092359
413.700868,145,55.093833
405.701121,143,56.044753
410.354767,143,56.988225
425.053301,148,57.910089
437.229399,152,59.497241
422.561644,148,60.415284
423.432997,153,61.455405
415.265969,148,62.464129
455.331106,158,63.46136
460.038109,164,65.074458
489.841174,171,66.100913
595.509074,194,67.754534
640.38992,209,69.034097
650.684002,210,70.860965
624.619655,206,72.108605
662.589115,213,73.850099
655.534238,212,75.63296
655.350713,214,76.8015
626.676085,206,78.566013
707.62255,223,80.382954
695.84772,218,81.524852
793.18081,252,83.383852
805.711324,256,85.275667
911.699316,286,87.600598
842.69683,272,89.529427
775.139175,257,91.427187
873.423309,284,93.238566
929.545027,297,95.103267
1069.185128,334,97.614575
1071.835442,339,100.142297
1290.248776,401,102.992441
996.100226,306,104.947451
1110.739855,352,107.595432
1076.718741,341,110.084895
1298.933317,392,112.725999
1298.854645,400,115.453558
1392.462436,430,118.159353
1470.489604,458,121.558169
1135.945471,348,123.717726
1575.998209,472,127.431604
1623.163479,497,130.871793
1813.014906,552,134.6766
2238.316558,682,139.812023
1479.328853,462,142.778201
2779.045075,865,148.807688
3166.773689,1000,156.002559
2067.372958,638,160.524261
2193.119725,657,165.200897
2282.622515,709,169.904789
2007.082811,620,174.691458
1866.790329,570,179.228703
1850.154506,576,182.84399
1514.922647,477,186.509522
3200.308858,1000,193.841069
2494.612187,755,199.273186
1740.998599,530,202.895356
1580.807298,479,206.472593
2005.688212,600,210.374125
1879.542371,550,214.731354
2262.845028,686,219.676468
1381.071958,416,222.389658
1500.409389,447,225.893704
1696.069997,497,229.581226
1616.805562,476,232.618138
1983.038743,576,236.861472
1610.903916,483,240.498692
1825.076163,559,244.134887
1765.342651,529,247.909006
1813.477958,539,251.601278
1667.904726,492,255.284549
1239.060491,379,257.911288
1922.837027,560,261.648254
1837.917901,546,265.86858
3320.794463,1000,272.777419
1294.179422,379,275.623315
1987.166297,608,279.962749
1364.411921,396,282.728134
2111.372246,618,287.864161
1800.617295,526,292.199553
1872.783847,548,295.935869
1603.886405,466,299.72217
1443.208461,428,302.891152
1604.389829,466,306.866802
1488.476046,440,310.563731
3273.806851,1000,318.250233
3397.579336,1000,326.27616
1129.850501,329,329.259096
1308.262062,385,332.180851
1519.076417,435,335.39072
3382.885982,1000,343.418511
1910.134379,553,347.211398
1384.601875,401,350.124342
1783.153721,516,353.777049
3453.389015,1000,361.487188
1494.066936,441,365.502692
3270.894809,1000,373.228319
923.730537,285,375.378228
3245.925989,984,382.86248
3240.409621,1000,390.402052
1224.696132,368,393.443828
3243.644294,1000,400.778523
3259.684765,1000,408.230814
1168.587147,345,410.343228
1532.044194,439,414.405206
957.199863,293,416.460348
907.735305,279,418.38574
2487.275376,737,424.508841
1788.431461,532,428.644112
3335.88454,1000,436.635803
1337.54637,406,439.856361
1835.849045,545,444.454621
3094.914769,926,451.264887
1253.647058,385,454.359574
1493.702619,442,457.249232
2975.81475,884,464.183573
1738.448022,528,468.008137
1348.380376,404,470.869862
3209.687711,1000,478.603106
1840.847236,535,482.766277
3306.495705,1000,490.539518
3350.806226,1000,498.267593
3306.611683,1000,505.915603
3306.435755,1000,514.077715
2283.003733,675,518.91008
1182.196002,357,521.535328
3364.813856,1000,529.170137
2924.353245,860,535.806491
3300.787582,1000,543.681973
3333.38074,1000,551.286841
3362.26594,1000,559.002823
3383.237761,1000,566.01466
3011.511111,876,572.845373
3318.846951,1000,580.576956
1626.328651,486,584.353547
3154.268033,929,590.908909
3009.413234,880,597.932923
1883.335557,559,601.892011
2995.426134,858,608.708967
1935.447019,572,613.243968
2063.868231,593,617.680691
3296.219,1000,625.41926
2763.541992,818,631.767204
3432.706516,1000,640.164839
3422.382121,1000,648.157627
3215.934696,950,654.893497
3395.925221,1000,662.956147
2665.605645,800,669.708351
2851.91697,828,676.016836
3416.821045,1000,684.011485
3400.36656,1000,690.715885
3432.743831,1000,697.009756
3439.69638,1000,704.541166
3318.239991,1000,712.148498
3266.757705,1000,720.162286
3345.296558,1000,727.704383
3271.989722,1000,735.558642
3330.656818,1000,742.782108
3343.793505,1000,750.471238
3399.640101,1000,758.232313
1355.555672,437,761.23936
3239.821668,1000,769.218317
3375.620045,1000,776.698825
3381.652102,995,784.318531
3346.370041,1000,792.660921
3339.293356,1000,799.743177
3322.936986,1000,807.945074
2235.579014,691,813.820632
1656.258375,518,817.302593
1601.92714,498,820.94858
852.440277,280,822.898708
1102.297249,348,824.987223
1000.640051,314,827.586006
2005.910668,610,832.118032
3322.332405,1000,838.395045
3252.97252,1000,845.655571
871.530842,282,847.576969
3360.17326,1000,854.588305
1958.225377,602,858.983846
1685.374702,527,862.608504
1413.151471,444,865.948847
3328.583425,1000,872.529874
3368.117535,1000,879.685278
3363.713388,1000,886.787995
2267.1274,659,891.17799
3427.902582,1000,898.081945
1405.359437,429,900.899064
3391.403364,1000,907.807069
3432.90305,1000,914.968954
1095.330604,333,917.543094
3357.810768,1000,924.100638
3350.012428,1000,932.520926
3312.038905,1000,934.995854
3345.600326,1000,937.637263
3332.483008,1000,939.893782
3384.047483,1000,942.366975
3335.881493,1000,944.67275
3348.389597,1000,947.077153
3366.681777,1000,949.572709
3381.198807,1000,952.135172
